epoch,train r2,test r2
1,0.0244,-0.1374
2,0.067,-0.13
3,0.0373,-0.1237
4,0.0942,-0.1156
5,0.0709,-0.108
6,0.1082,-0.1002
7,0.0776,-0.0912
8,0.1225,-0.0832
9,0.1059,-0.0743
10,0.1558,-0.0661
11,0.1496,-0.057
12,0.1278,-0.0485
13,0.176,-0.0386
14,0.1302,-0.0294
15,0.1592,-0.0193
16,0.1963,-0.009
17,0.1599,0.0016
18,0.2035,0.0133
19,0.2121,0.0238
20,0.2123,0.034
21,0.2274,0.0455
22,0.2741,0.057
23,0.2447,0.0673
24,0.3019,0.0777
25,0.3129,0.0893
26,0.2306,0.1009
27,0.3057,0.1124
28,0.3014,0.1256
29,0.3039,0.1373
30,0.3392,0.1501
31,0.3087,0.1636
32,0.3582,0.1765
33,0.3622,0.1904
34,0.3265,0.2012
35,0.4035,0.2125
36,0.3714,0.2243
37,0.3825,0.2371
38,0.4287,0.2512
39,0.3736,0.2618
40,0.4299,0.2748
41,0.4362,0.2867
42,0.4148,0.2991
43,0.4896,0.3108
44,0.4825,0.3227
45,0.5082,0.3342
46,0.4871,0.3434
47,0.4886,0.352
48,0.5011,0.3612
49,0.5158,0.3668
50,0.4884,0.3736
51,0.5026,0.3823
52,0.5414,0.3888
53,0.5403,0.3973
54,0.5616,0.4054
55,0.5004,0.4137
56,0.5542,0.4236
57,0.5508,0.4347
58,0.5766,0.4446
59,0.4889,0.4513
60,0.588,0.4572
61,0.5976,0.4639
62,0.5625,0.4702
63,0.5585,0.476
64,0.5968,0.4823
65,0.5449,0.4883
66,0.626,0.4972
67,0.6268,0.5052
68,0.6342,0.5078
69,0.5578,0.5126
70,0.6153,0.5195
71,0.6299,0.5271
72,0.5429,0.5359
73,0.5743,0.5402
74,0.6922,0.5436
75,0.5492,0.5425
76,0.5677,0.5457
77,0.648,0.5495
78,0.6573,0.5518
79,0.6377,0.5572
80,0.6975,0.5602
81,0.6196,0.5637
82,0.6103,0.5674
83,0.6026,0.5684
84,0.5833,0.5705
85,0.6501,0.5731
86,0.6897,0.5785
87,0.6913,0.5841
88,0.5964,0.5889
89,0.7006,0.5942
90,0.5675,0.5968
91,0.6564,0.6002
92,0.6384,0.6031
93,0.6039,0.6058
94,0.6598,0.6109
95,0.708,0.617
96,0.6502,0.6231
97,0.6746,0.6278
98,0.6327,0.6315
99,0.6074,0.6329
100,0.6932,0.6325
101,0.6969,0.6343
102,0.674,0.6356
103,0.694,0.6365
104,0.6394,0.6352
105,0.6591,0.6344
106,0.719,0.6372
107,0.6536,0.6386
108,0.6689,0.6402
109,0.6636,0.6411
110,0.6523,0.6403
111,0.6615,0.6398
112,0.6494,0.6392
113,0.6593,0.642
114,0.682,0.6464
115,0.6627,0.6502
116,0.5802,0.6547
117,0.6443,0.6587
118,0.7018,0.6637
119,0.6998,0.667
120,0.7524,0.6678
121,0.693,0.6693
122,0.7019,0.6699
123,0.663,0.6735
124,0.6453,0.6752
125,0.6577,0.6794
126,0.6813,0.6826
127,0.6888,0.6843
128,0.6557,0.6844
129,0.6933,0.6848
130,0.6681,0.6872
131,0.6889,0.6864
132,0.6284,0.6844
133,0.6815,0.683
134,0.665,0.6844
135,0.6894,0.6864
136,0.6858,0.6877
137,0.7261,0.69
138,0.6673,0.6923
139,0.647,0.6944
140,0.6757,0.6925
141,0.7119,0.6914
142,0.681,0.6924
143,0.6623,0.6951
144,0.6635,0.6974
145,0.7222,0.6986
146,0.703,0.7025
147,0.6762,0.7041
148,0.6368,0.707
149,0.6545,0.708
150,0.6652,0.71
151,0.6759,0.712
152,0.6949,0.7137
153,0.7346,0.7138
154,0.6891,0.7133
155,0.7277,0.7123
156,0.6817,0.7114
157,0.7107,0.7108
158,0.6686,0.7079
159,0.7147,0.706
160,0.6438,0.7036
161,0.6278,0.7008
162,0.6778,0.7002
163,0.68,0.7007
164,0.7065,0.7041
165,0.7212,0.7113
166,0.6853,0.7138
167,0.7183,0.7145
168,0.6538,0.7159
169,0.7296,0.718
170,0.6262,0.7212
171,0.7024,0.7214
172,0.722,0.7237
173,0.6769,0.7257
174,0.717,0.7256
175,0.7251,0.7264
176,0.7298,0.7291
177,0.648,0.7319
178,0.6548,0.7337
179,0.6763,0.7352
180,0.7185,0.7364
181,0.6547,0.7383
182,0.7259,0.7401
183,0.7364,0.7426
184,0.7203,0.7434
185,0.6492,0.7436
186,0.7498,0.744
187,0.718,0.7435
188,0.7227,0.7425
189,0.7373,0.74
190,0.6973,0.7367
191,0.673,0.7352
192,0.7504,0.7345
193,0.7115,0.7338
194,0.6616,0.7338
195,0.6902,0.7343
196,0.6963,0.7354
197,0.7302,0.7357
198,0.7188,0.7336
199,0.7434,0.7324
200,0.7161,0.7329
