parameter,y
"{'batch_size': 103.0, 'lr': 0.0006838123167155426, 'epochs': 373.0, 'hidden1_size': 108.0, 'hidden2_size': 70.0, 'dropout': 0.27142857142857146}",0.8941
"{'batch_size': 15.0, 'lr': 0.0006838123167155426, 'epochs': 374.0, 'hidden1_size': 71.0, 'hidden2_size': 128.0, 'dropout': 0.32857142857142857}",0.9019
"{'batch_size': 23.0, 'lr': 0.004931759530791789, 'epochs': 152.0, 'hidden1_size': 82.0, 'hidden2_size': 84.0, 'dropout': 0.27142857142857146}",0.8987
"{'batch_size': 103.0, 'lr': 0.002422052785923754, 'epochs': 152.0, 'hidden1_size': 82.0, 'hidden2_size': 84.0, 'dropout': 0.27142857142857146}",0.9074
"{'batch_size': 103.0, 'lr': 0.002422052785923754, 'epochs': 152.0, 'hidden1_size': 82.0, 'hidden2_size': 84.0, 'dropout': 0.27142857142857146}",0.9074
"{'batch_size': 103.0, 'lr': 0.002422052785923754, 'epochs': 152.0, 'hidden1_size': 82.0, 'hidden2_size': 84.0, 'dropout': 0.27142857142857146}",0.9074
"{'batch_size': 23.0, 'lr': 0.002431818181818182, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 84.0, 'dropout': 0.27142857142857146}",0.913
"{'batch_size': 23.0, 'lr': 0.00476574780058651, 'epochs': 123.0, 'hidden1_size': 27.0, 'hidden2_size': 128.0, 'dropout': 0.27142857142857146}",0.91
"{'batch_size': 23.0, 'lr': 0.003056803519061584, 'epochs': 123.0, 'hidden1_size': 27.0, 'hidden2_size': 128.0, 'dropout': 0.27142857142857146}",0.9111
"{'batch_size': 103.0, 'lr': 0.003047038123167156, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9185
"{'batch_size': 103.0, 'lr': 0.0029005571847507336, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9153
"{'batch_size': 103.0, 'lr': 0.003047038123167156, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9185
"{'batch_size': 103.0, 'lr': 0.004931759530791789, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9285
"{'batch_size': 103.0, 'lr': 0.0049219941348973605, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9288
"{'batch_size': 103.0, 'lr': 0.00476574780058651, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9307
"{'batch_size': 103.0, 'lr': 0.00476574780058651, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9307
"{'batch_size': 103.0, 'lr': 0.00476574780058651, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9307
"{'batch_size': 103.0, 'lr': 0.00476574780058651, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9307
"{'batch_size': 103.0, 'lr': 0.00476574780058651, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9307
"{'batch_size': 103.0, 'lr': 0.00476574780058651, 'epochs': 123.0, 'hidden1_size': 18.0, 'hidden2_size': 128.0, 'dropout': 0.1}",0.9307
