epoch,train loss,test loss
1,0.7481,1.0668
2,0.7939,0.9955
3,0.6639,0.9167
4,0.7739,0.8365
5,0.9345,0.7575
6,0.5602,0.684
7,0.552,0.6186
8,0.5286,0.5617
9,0.4614,0.5157
10,0.5711,0.4726
11,0.4404,0.428
12,0.5628,0.3847
13,0.3972,0.3475
14,0.4919,0.3143
15,0.3358,0.2796
16,0.3574,0.2468
17,0.4088,0.2213
18,0.301,0.2056
19,0.3314,0.1915
20,0.282,0.1778
21,0.3076,0.1676
22,0.3286,0.1627
23,0.451,0.1672
24,0.2546,0.1753
25,0.3504,0.1805
26,0.2265,0.1742
27,0.299,0.1616
28,0.2769,0.1534
29,0.2613,0.1503
30,0.2011,0.1494
31,0.2209,0.1464
32,0.2474,0.1367
33,0.3177,0.1259
34,0.1941,0.1192
35,0.1929,0.1107
36,0.2132,0.1065
37,0.1362,0.1141
38,0.1983,0.1246
39,0.2436,0.1231
40,0.1791,0.1189
41,0.1491,0.1147
42,0.2714,0.1115
43,0.1955,0.1112
44,0.1942,0.1132
45,0.1524,0.114
46,0.2687,0.1132
47,0.1353,0.1165
48,0.1818,0.1174
49,0.1798,0.1154
50,0.1184,0.1085
51,0.162,0.1015
52,0.1731,0.0982
53,0.157,0.0979
54,0.192,0.1004
55,0.1075,0.1044
56,0.147,0.1099
57,0.1819,0.1141
58,0.1963,0.1136
59,0.162,0.1108
60,0.177,0.1071
61,0.1675,0.1034
62,0.1338,0.0995
63,0.1425,0.0961
64,0.1821,0.095
65,0.1009,0.0966
66,0.2092,0.0987
67,0.1583,0.0993
68,0.1071,0.102
69,0.1089,0.1068
70,0.1504,0.111
71,0.1466,0.1109
72,0.1266,0.1047
73,0.0909,0.1002
74,0.128,0.098
75,0.1272,0.0996
76,0.1493,0.1012
77,0.0809,0.0997
78,0.0971,0.0975
79,0.1037,0.0959
80,0.1852,0.0962
81,0.1067,0.097
82,0.179,0.0967
83,0.1632,0.0962
84,0.0983,0.0989
85,0.1214,0.1014
86,0.113,0.1027
87,0.0907,0.1049
88,0.1163,0.1078
89,0.1251,0.1088
90,0.0885,0.1082
91,0.0987,0.1066
92,0.1052,0.1036
93,0.1294,0.1019
94,0.1609,0.1014
95,0.1078,0.1044
96,0.1449,0.107
97,0.1015,0.1115
98,0.0683,0.1179
99,0.1251,0.1207
100,0.1098,0.1183
101,0.1062,0.1141
102,0.1103,0.108
103,0.1165,0.1031
104,0.1251,0.0994
105,0.0906,0.0984
106,0.1198,0.1
107,0.1356,0.1009
108,0.0974,0.0975
109,0.097,0.0951
110,0.1039,0.0964
111,0.1552,0.0987
112,0.11,0.1008
113,0.0965,0.1027
114,0.1096,0.1051
115,0.0818,0.1059
116,0.1004,0.1058
117,0.1091,0.1046
118,0.1086,0.1016
119,0.1163,0.0992
120,0.1077,0.099
121,0.1263,0.0985
122,0.1262,0.0953
123,0.0885,0.0926
124,0.0843,0.0934
125,0.1095,0.0969
126,0.0991,0.1027
127,0.0807,0.1107
128,0.1383,0.1171
129,0.1111,0.1226
130,0.1197,0.1228
131,0.092,0.1209
132,0.1907,0.1159
133,0.1234,0.1103
134,0.0672,0.1086
135,0.0951,0.1084
136,0.0928,0.1063
137,0.1043,0.1031
138,0.1142,0.097
139,0.1338,0.0915
140,0.0875,0.0894
141,0.1341,0.0927
142,0.1117,0.1001
143,0.1195,0.1045
144,0.125,0.1049
145,0.0873,0.1047
146,0.0838,0.1033
147,0.0938,0.1023
148,0.0661,0.1016
149,0.1072,0.1011
150,0.0949,0.1007
151,0.1008,0.1019
152,0.1066,0.1053
153,0.133,0.1114
154,0.087,0.123
155,0.0975,0.1307
156,0.0948,0.1327
157,0.1154,0.1259
158,0.2046,0.1102
159,0.1349,0.0968
160,0.0802,0.0934
161,0.087,0.0926
162,0.103,0.0918
163,0.0876,0.092
164,0.1128,0.0933
165,0.0734,0.0954
166,0.1147,0.0982
167,0.1214,0.0972
168,0.1299,0.098
169,0.0983,0.101
170,0.0794,0.1045
171,0.0883,0.1092
172,0.1056,0.1141
173,0.0908,0.1182
174,0.0872,0.1204
175,0.0644,0.1191
176,0.0827,0.1135
177,0.0982,0.1096
178,0.0812,0.1094
179,0.1031,0.1066
180,0.0669,0.1013
181,0.0681,0.0971
182,0.1147,0.0996
183,0.1541,0.0998
184,0.0734,0.0965
185,0.0909,0.0956
186,0.0781,0.0963
187,0.0748,0.0988
188,0.0871,0.1006
189,0.1201,0.1055
190,0.0726,0.1105
191,0.1011,0.1098
192,0.0837,0.1057
193,0.1105,0.1025
194,0.0952,0.1022
195,0.0941,0.1022
196,0.0762,0.1012
197,0.0853,0.101
198,0.0737,0.1018
199,0.0678,0.1036
200,0.0839,0.1051
201,0.0742,0.1058
202,0.0768,0.1075
203,0.0587,0.11
204,0.0713,0.1115
205,0.0746,0.1152
