epoch,train r2,test r2
1,0.0364,-0.0179
2,0.1161,0.0501
3,0.17,0.1254
4,0.2178,0.2018
5,0.304,0.2772
6,0.2976,0.3474
7,0.3378,0.4098
8,0.3664,0.4641
9,0.4165,0.508
10,0.4342,0.5491
11,0.4982,0.5917
12,0.4921,0.6329
13,0.5177,0.6685
14,0.5635,0.7001
15,0.605,0.7332
16,0.5585,0.7645
17,0.5956,0.7888
18,0.6303,0.8039
19,0.6391,0.8173
20,0.676,0.8303
21,0.6434,0.8401
22,0.6774,0.8447
23,0.6339,0.8405
24,0.7082,0.8328
25,0.7116,0.8277
26,0.7326,0.8338
27,0.7362,0.8458
28,0.7588,0.8537
29,0.7192,0.8566
30,0.7493,0.8575
31,0.7391,0.8603
32,0.77,0.8696
33,0.7511,0.8799
34,0.7533,0.8863
35,0.7777,0.8944
36,0.7864,0.8984
37,0.8241,0.8912
38,0.8261,0.8811
39,0.8081,0.8826
40,0.8467,0.8865
41,0.8422,0.8906
42,0.7953,0.8936
43,0.7933,0.8939
44,0.8198,0.892
45,0.8446,0.8912
46,0.7643,0.892
47,0.8443,0.8888
48,0.8042,0.888
49,0.8279,0.8899
50,0.8455,0.8965
51,0.8589,0.9031
52,0.8579,0.9063
53,0.8243,0.9065
54,0.7739,0.9042
55,0.8685,0.9004
56,0.8494,0.8951
57,0.8348,0.8911
58,0.8292,0.8916
59,0.8426,0.8943
60,0.8428,0.8978
61,0.8098,0.9013
62,0.8747,0.905
63,0.8481,0.9083
64,0.8226,0.9094
65,0.8706,0.9078
66,0.8324,0.9058
67,0.874,0.9053
68,0.8761,0.9027
69,0.8917,0.8981
70,0.8348,0.8941
71,0.8807,0.8942
72,0.8676,0.9001
73,0.8982,0.9044
74,0.8887,0.9065
75,0.8869,0.905
76,0.8366,0.9035
77,0.9054,0.9049
78,0.8775,0.907
79,0.8739,0.9085
80,0.8465,0.9082
81,0.8861,0.9074
82,0.8239,0.9077
83,0.8472,0.9082
84,0.8886,0.9056
85,0.89,0.9032
86,0.8819,0.902
87,0.9081,0.8999
88,0.8699,0.8972
89,0.8926,0.8962
90,0.9043,0.8967
91,0.8949,0.8983
92,0.9031,0.9012
